Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 7, 2014, 12:10:13 PM",Kudos,Activity,161691249
"Jul 9, 2014, 2:54:50 PM",Kudos,Activity,163507599
"Jul 10, 2014, 5:57:49 PM",Kudos,Activity,163913201
"Jul 11, 2014, 3:12:53 PM",Kudos,Activity,164304290
"Jul 14, 2014, 3:06:49 PM",Kudos,Activity,165574239
"Jul 16, 2014, 3:13:07 PM",Kudos,Activity,166046458
"Jul 16, 2014, 3:13:09 PM",Kudos,Activity,166046185
"Jul 16, 2014, 3:13:26 PM",Kudos,Activity,166507395
"Jul 16, 2014, 3:13:31 PM",Kudos,Activity,166520200
"Jul 17, 2014, 2:48:39 PM",Kudos,Activity,166958588
"Jul 19, 2014, 1:30:46 PM",Kudos,Activity,167425190
"Jul 21, 2014, 3:06:10 PM",Kudos,Activity,168700066
"Jul 21, 2014, 3:06:33 PM",Kudos,Activity,168601799
"Jul 24, 2014, 6:48:56 PM",Kudos,Activity,170104403
"Jul 30, 2014, 8:19:02 PM",Kudos,Activity,172319668
"Jul 30, 2014, 8:19:04 PM",Kudos,Activity,172321954
"Jul 30, 2014, 8:19:20 PM",Kudos,Activity,170899377
"Jul 31, 2014, 8:30:47 PM",Kudos,Activity,173596819
"Aug 2, 2014, 4:00:27 PM",Kudos,Activity,174116724
"Aug 2, 2014, 4:00:40 PM",Kudos,Activity,174118893
"Aug 2, 2014, 4:00:55 PM",Kudos,Activity,174095232
"Aug 2, 2014, 11:02:35 PM",Kudos,Activity,174473200
"Aug 4, 2014, 2:18:47 AM",Kudos,Activity,174959823
"Aug 5, 2014, 3:19:17 PM",Kudos,Activity,175593320
"Aug 5, 2014, 3:28:19 PM",Kudos,Activity,175579517
"Aug 5, 2014, 3:28:21 PM",Kudos,Activity,175571274
"Aug 9, 2014, 5:42:05 AM",Kudos,Activity,177373812
"Aug 9, 2014, 5:42:08 AM",Kudos,Activity,177515067
"Aug 9, 2014, 6:45:35 PM",Kudos,Activity,177534226
"Aug 9, 2014, 6:45:37 PM",Kudos,Activity,177531822
"Aug 9, 2014, 6:45:48 PM",Kudos,Activity,177103801
"Aug 11, 2014, 12:05:25 PM",Kudos,Activity,177952437
"Aug 12, 2014, 8:20:42 PM",Kudos,Activity,178997544
"Aug 12, 2014, 8:20:43 PM",Kudos,Activity,178975419
"Aug 19, 2014, 4:05:21 PM",Kudos,Activity,182216897
"Aug 22, 2014, 5:21:43 PM",Kudos,Activity,183054471
"Aug 22, 2014, 5:22:37 PM",Kudos,Activity,183176102
"Aug 24, 2014, 6:37:13 PM",Kudos,Activity,184832635
"Aug 26, 2014, 2:15:33 PM",Kudos,Feed Entry,8892635
"Aug 26, 2014, 2:15:35 PM",Kudos,Activity,185390774
"Aug 26, 2014, 2:16:01 PM",Kudos,Activity,185386940
"Aug 26, 2014, 2:16:02 PM",Kudos,Activity,185378759
"Aug 31, 2014, 1:20:54 PM",Kudos,Activity,187614032
"Aug 31, 2014, 1:21:00 PM",Kudos,Activity,187475354
"Aug 31, 2014, 1:21:24 PM",Kudos,Activity,187370196
"Aug 31, 2014, 1:21:27 PM",Kudos,Activity,187149659
"Aug 31, 2014, 1:21:29 PM",Kudos,Activity,187145753
"Aug 31, 2014, 1:21:33 PM",Kudos,Activity,186696698
"Aug 31, 2014, 5:02:01 PM",Kudos,Activity,187964639
"Sep 2, 2014, 3:11:12 PM",Kudos,Activity,188633846
"Sep 2, 2014, 3:11:13 PM",Kudos,Activity,188633676
"Sep 3, 2014, 12:24:35 PM",Kudos,Activity,189069375
"Sep 3, 2014, 12:24:37 PM",Kudos,Activity,189099938
"Sep 3, 2014, 7:55:02 PM",Kudos,Activity,189334507
"Sep 4, 2014, 3:23:26 PM",Kudos,Activity,189553486
"Sep 7, 2014, 6:11:16 PM",Kudos,Activity,190685193
"Sep 7, 2014, 6:11:18 PM",Kudos,Activity,190392662
"Sep 7, 2014, 6:11:20 PM",Kudos,Activity,190385413
"Sep 7, 2014, 6:11:21 PM",Kudos,Activity,190396465
"Sep 9, 2014, 3:04:19 PM",Kudos,Activity,191925082
"Sep 9, 2014, 3:04:20 PM",Kudos,Activity,191921445
"Sep 9, 2014, 3:04:28 PM",Kudos,Activity,191483963
"Sep 9, 2014, 3:04:32 PM",Kudos,Activity,191716818
"Sep 10, 2014, 1:58:37 AM",Kudos,Activity,192309891
"Sep 13, 2014, 2:16:16 PM",Kudos,Activity,193659521
"Sep 13, 2014, 2:16:16 PM",Kudos,Activity,193670640
"Sep 13, 2014, 2:16:29 PM",Kudos,Activity,193533124
"Sep 15, 2014, 7:58:48 PM",Kudos,Activity,194526995
"Sep 15, 2014, 7:59:38 PM",Kudos,Activity,194640179
"Sep 16, 2014, 3:36:38 AM",Kudos,Activity,195117910
"Sep 17, 2014, 2:50:29 PM",Kudos,Activity,195578808
"Sep 18, 2014, 2:44:40 PM",Kudos,Activity,195931975
"Sep 20, 2014, 3:59:46 AM",Kudos,Activity,196830001
"Sep 20, 2014, 3:59:49 AM",Kudos,Activity,196812333
"Sep 20, 2014, 4:00:16 AM",Kudos,Activity,196721479
"Sep 20, 2014, 3:06:00 PM",Kudos,Activity,196825982
"Sep 21, 2014, 7:42:11 PM",Kudos,Activity,197176999
"Sep 21, 2014, 7:42:12 PM",Kudos,Activity,197205581
"Sep 24, 2014, 4:35:44 PM",Kudos,Activity,198699348
"Sep 25, 2014, 2:56:57 AM",Kudos,Activity,199011239
"Sep 25, 2014, 2:58:00 AM",Kudos,Activity,199047112
"Oct 2, 2014, 2:31:20 PM",Kudos,Activity,202158988
"Oct 2, 2014, 2:31:22 PM",Kudos,Activity,202114159
"Oct 2, 2014, 2:31:24 PM",Kudos,Activity,202051031
"Oct 2, 2014, 2:31:30 PM",Kudos,Activity,201619972
"Oct 2, 2014, 2:31:33 PM",Kudos,Activity,201269977
"Oct 2, 2014, 2:31:35 PM",Kudos,Activity,201264546
"Oct 2, 2014, 2:31:38 PM",Kudos,Activity,200193322
"Oct 2, 2014, 2:31:41 PM",Kudos,Activity,199814495
"Oct 4, 2014, 2:26:12 AM",Kudos,Activity,202930090
"Oct 4, 2014, 7:20:51 PM",Kudos,Activity,203243301
"Oct 6, 2014, 12:03:22 PM",Kudos,Activity,203833710
"Oct 6, 2014, 12:03:24 PM",Kudos,Activity,203738823
"Oct 7, 2014, 4:36:02 AM",Kudos,Activity,204273864
"Oct 7, 2014, 4:36:05 AM",Kudos,Activity,204268951
"Oct 7, 2014, 4:36:06 AM",Kudos,Activity,204268102
"Oct 7, 2014, 4:36:09 AM",Kudos,Activity,204268730
"Oct 7, 2014, 12:02:32 PM",Kudos,Activity,204288562
"Oct 8, 2014, 3:16:47 AM",Kudos,Activity,204662975
"Oct 9, 2014, 12:07:25 PM",Kudos,Activity,205039980
"Oct 11, 2014, 9:47:22 PM",Kudos,Activity,206147633
"Oct 15, 2014, 1:34:18 AM",Kudos,Activity,207455950
"Oct 17, 2014, 12:03:35 PM",Kudos,Activity,208197299
"Oct 18, 2014, 5:04:54 AM",Kudos,Activity,208528012
"Oct 18, 2014, 5:04:55 AM",Kudos,Activity,208523829
"Oct 18, 2014, 10:18:55 PM",Kudos,Activity,208912029
"Oct 20, 2014, 4:22:53 PM",Kudos,Activity,209659848
"Oct 21, 2014, 4:41:54 AM",Kudos,Activity,209843804
