Media Filename,Media Caption
media/6982A08D-9764-4784-8045-1CBAA176CB1C.jpg,Lower Robinson Canyon Rd
media/92A34228-28B3-4627-9797-98B6CD4BCA45.jpg,Looking towards Salinas Valley a little past the laureles grade summit.
media/2D36D173-1FA0-44F7-B401-F34ADB96925B.jpg,Looking towards Monterey from near the summit of laureles grade.
media/4506EECA-1D8C-4850-B357-D547F6D60A53.jpg,"Steeper than I thought it would be, but luckily not too long."
media/C8B74B70-47D6-40A2-A410-AD7A5E165C65.jpg,😎
media/19E6AB95-75F9-420E-9306-2A26F240E569.jpg,Vroom vroom
media/F9A5EC3A-0171-4981-8721-88908029AFEA.jpg,Every single person was on their own phone. Pokemon party?
media/4866232F-9D49-4074-BB12-BC3DC912B1D0.jpg,""
media/6581CA62-445C-4C57-A938-0A89C345F6AF.jpg,""
media/39A3EBA0-41F7-4675-9C54-9FA126C5604E.jpg,""
media/57CEEDEF-814A-4F1B-9642-B044F9FF595E.jpg,""
media/78096931-43B5-4726-8100-D081F04E1003.jpg,""
media/97144BB5-574D-4A85-BAF9-68D9A36A6934.jpg,""
media/D4D67065-F26B-4A9C-81C9-3AA6324F6839.jpg,""
media/A728AED7-AA30-47A5-B3C5-75B032B7B599.jpg,""
media/8CAE7DF0-8001-46B8-872F-01C391CBB974.jpg,""
media/C60C5D90-1BF0-4C52-9D7E-3354F820DE12.jpg,""
media/83563887-5946-494F-A6E4-3BB2AA2034A8.jpg,""
media/A1801748-F977-4FE0-8C4B-FB0ACA9BD9B9.jpg,""
media/2BC306E8-FD3F-4E5F-B8D9-C3ACB216CC7E.jpg,""
media/86AAB8AC-30E6-4539-999A-95DCCAC32EDD.jpg,""
media/A3D43C93-DD65-4C2C-851D-46A7FD90A38B.jpg,""
media/1B384202-F530-4D9D-8D16-C9E6E5D72261.jpg,""
media/0E2CFB5D-9990-49B2-8002-F583D6291337.jpg,""
media/D894E0DA-2F62-447F-A299-E84247858C12.jpg,""
